url,playlist
https://beachcam.meo.pt/livecams/capbreton/,https://video-auth1.iol.pt/beachcam/capbreton/playlist.m3u8
https://beachcam.meo.pt/livecams/vila-praia-de-ancora/,https://video-auth1.iol.pt/beachcam/bcvilapraiadeancora/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-rocha/,https://video-auth1.iol.pt/beachcam/praiadarocha/playlist.m3u8
https://beachcam.meo.pt/livecams/lisboa-belem/,https://video-auth1.iol.pt/beachcam/belem/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-das-rocas/,https://video-auth1.iol.pt/beachcam/praiadasrocas/playlist.m3u8
https://beachcam.meo.pt/livecams/leça-da-palmeira/,https://video-auth1.iol.pt/beachcam/lecadapalmeira/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-verde/,https://video-auth1.iol.pt/beachcam/bcpraiaverde/playlist.m3u8
https://beachcam.meo.pt/livecams/fonte-da-telha/,https://video-auth1.iol.pt/beachcam/fontedatelha/playlist.m3u8
https://beachcam.meo.pt/livecams/pourville/,https://video-auth1.iol.pt/beachcam/pourville/playlist.m3u8
https://beachcam.meo.pt/livecams/santo-amaro/,https://video-auth1.iol.pt/beachcam/santoamaro/playlist.m3u8
https://beachcam.meo.pt/livecams/guethary-parlementia-bidart/,https://video-auth1.iol.pt/beachcam/bidart/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-das-avencas/,https://video-auth1.iol.pt/beachcam/praiadasavencas/playlist.m3u8
https://beachcam.meo.pt/livecams/biarritz-cote-des-basques/,https://video-auth1.iol.pt/beachcam/biarritz/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-de-espinho/,https://video-auth1.iol.pt/beachcam/espinho/playlist.m3u8
https://beachcam.meo.pt/livecams/montalivet/,https://video-auth1.iol.pt/beachcam/montalivet/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-gale/,https://video-auth1.iol.pt/beachcam/bcgale/playlist.m3u8
https://beachcam.meo.pt/livecams/biscarosse/,https://video-auth1.iol.pt/beachcam/biscarosse/playlist.m3u8
https://beachcam.meo.pt/livecams/figueira-da-foz-tamargueira/,https://video-auth1.iol.pt/beachcam/bcfigueiradois/playlist.m3u8
https://beachcam.meo.pt/livecams/zaraut/,https://video-auth1.iol.pt/beachcam/zarautz/playlist.m3u8
https://beachcam.meo.pt/livecams/comporta/,https://video-auth1.iol.pt/beachcam/bccomporta/playlist.m3u8
https://beachcam.meo.pt/livecams/ciboure/,https://video-auth1.iol.pt/beachcam/ciboure/playlist.m3u8
https://beachcam.meo.pt/livecams/hendaye-vue-fixe/,https://video-auth1.iol.pt/beachcam/hendayevuefixe/playlist.m3u8
https://beachcam.meo.pt/livecams/vieux-boucau/,https://video-auth1.iol.pt/beachcam/vieuxboucau01/playlist.m3u8
https://beachcam.meo.pt/livecams/vagueiracasablanca/,https://video-auth1.iol.pt/beachcam/vagueiracasablanca/playlist.m3u8
https://beachcam.meo.pt/livecams/matadouroskateparke/,https://video-auth1.iol.pt/beachcam/matadouroskatepark/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-de-santa-rita/,https://video-auth1.iol.pt/beachcam/vimeiro/playlist.m3u8
https://beachcam.meo.pt/livecams/hendaye/,https://video-auth1.iol.pt/beachcam/hendaye/playlist.m3u8
